Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Critical,Disease
Difficulties in stooling,Tired,Muscle Aches,NIL,Disorientation,Critical,cancer
"Yellow,green discharge",Urge to urinate,Swollen genitals,Rose spots,Disorientation,Critical,cardiovascular_disease
Frequent Urination,Hunger,Headache,Bloody diarrhea,Confusion,Critical,Diabetes
"Yellow,green discharge",Tired,Frequent Infection,NIL,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Abdominal Pain,NIL,Disorientation,Critical,cancer
Painful Urination,Urge to urinate,Abdominal Pain,NIL,Disorientation,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Headache,NIL,Seizures,Critical,cardiovascular_disease
Frequent Urination,Tired,Anal Itching and Pain,Rose spots,NIL,Critical,Diabetes
Painful Urination,Hunger,Anal Itching and Pain,Rashes,NIL,Critical,cancer
Painful Urination,Fever,Abdominal Pain,Swollen testicles,Disorientation,Critical,cancer
Painful Urination,Fever,Frequent Infection,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Fever,Headache,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Muscle Aches,Swollen testicles,Confusion,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Swollen genitals,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Hunger,Abdominal Pain,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Hunger,Abdominal Pain,NIL,Disorientation,Critical,Diabetes
Difficulties in stooling,Tired,Headache,NIL,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Swollen genitals,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Hunger,Headache,Rose spots,Disorientation,Critical,cancer
Painful Urination,Hunger,Headache,Rose spots,Disorientation,Critical,cancer
Frequent Urination,Tired,Headache,Rose spots,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Fever,Headache,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Urge to urinate,Abdominal Pain,NIL,NIL,Not Critical,cancer
Painful Urination,Hunger,Blurred Vision,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Fever,Anal Itching and Pain,Bloody diarrhea,Disorientation,Critical,cancer
Painful Urination,Urge to urinate,Blurred Vision,NIL,Cough and breathing difficulties,Critical,cardiovascular_disease
Painful Urination,Tired,Abdominal Pain,NIL,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Tired,Muscle Aches,Swollen testicles,Seizures,Critical,cancer
Frequent Urination,Fever,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Tired,Blurred Vision,Rose spots,NIL,Critical,cancer
"Yellow,green discharge",Hunger,Muscle Aches,NIL,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Urge to urinate,Muscle Aches,Rashes,Severe pelvic pain,Critical,Diabetes
Painful Urination,Fever,Blurred Vision,Swollen testicles,NIL,Critical,cancer
"Yellow,green discharge",Fever,Muscle Aches,Bloody diarrhea,NIL,Critical,cancer
"Yellow,green discharge",Hunger,Blurred Vision,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Hunger,Swollen genitals,Swollen testicles,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Fever,Headache,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Difficulties in stooling,Fever,Swollen genitals,Swollen testicles,Confusion,Critical,cancer
Difficulties in stooling,Tired,Abdominal Pain,Rose spots,NIL,Critical,cancer
"Yellow,green discharge",Urge to urinate,Frequent Infection,NIL,Confusion,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Anal Itching and Pain,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Abdominal Pain,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Hunger,Frequent Infection,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Muscle Aches,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Fever,Muscle Aches,NIL,NIL,Not Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,Rashes,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Tired,Blurred Vision,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Tired,Swollen genitals,Rashes,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Abdominal Pain,Swollen testicles,NIL,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Anal Itching and Pain,Rashes,Confusion,Critical,cancer
Painful Urination,Hunger,Swollen genitals,NIL,Confusion,Critical,cancer
Painful Urination,Tired,Blurred Vision,NIL,NIL,Not Critical,Diabetes
Painful Urination,Hunger,Abdominal Pain,NIL,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
Frequent Urination,Hunger,Muscle Aches,NIL,Severe pelvic pain,Critical,Diabetes
Painful Urination,Hunger,Frequent Infection,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Muscle Aches,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Hunger,Blurred Vision,Rashes,NIL,Critical,cancer
Frequent Urination,Hunger,Blurred Vision,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rashes,NIL,Critical,cardiovascular_disease
Frequent Urination,Hunger,Swollen genitals,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Hunger,Frequent Infection,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Hunger,Swollen genitals,Bloody diarrhea,Confusion,Critical,Diabetes
Painful Urination,Tired,Abdominal Pain,NIL,Seizures,Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Tired,Abdominal Pain,Rose spots,NIL,Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,Rose spots,NIL,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Frequent Infection,NIL,Disorientation,Critical,cardiovascular_disease
Painful Urination,Fever,Headache,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Tired,Muscle Aches,Excessive Urination and Thirst,NIL,Critical,Diabetes
Difficulties in stooling,Hunger,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Hunger,Swollen genitals,Rose spots,Confusion,Critical,cancer
Painful Urination,Urge to urinate,Swollen genitals,NIL,Confusion,Critical,cardiovascular_disease
Frequent Urination,Fever,Swollen genitals,NIL,Disorientation,Critical,Diabetes
Painful Urination,Hunger,Blurred Vision,Rashes,Seizures,Critical,cancer
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,Seizures,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Swollen genitals,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Hunger,Frequent Infection,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Fever,Blurred Vision,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
Painful Urination,Hunger,Headache,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Tired,Abdominal Pain,Rose spots,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Hunger,Headache,Swollen testicles,NIL,Critical,cancer
Frequent Urination,Urge to urinate,Anal Itching and Pain,NIL,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Hunger,Anal Itching and Pain,NIL,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Fever,Frequent Infection,NIL,NIL,Not Critical,cancer
Painful Urination,Tired,Abdominal Pain,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Hunger,Anal Itching and Pain,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Painful Urination,Tired,Swollen genitals,Swollen testicles,Confusion,Critical,cancer
Painful Urination,Hunger,Headache,NIL,Seizures,Critical,cancer
Frequent Urination,Urge to urinate,Frequent Infection,Swollen testicles,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Hunger,Anal Itching and Pain,Rose spots,NIL,Critical,cancer
Painful Urination,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Frequent Urination,Hunger,Muscle Aches,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Hunger,Blurred Vision,Swollen testicles,NIL,Critical,cancer
Difficulties in stooling,Hunger,Muscle Aches,Swollen testicles,NIL,Critical,cancer
Frequent Urination,Urge to urinate,Swollen genitals,Swollen testicles,Confusion,Critical,Diabetes
Difficulties in stooling,Fever,Swollen genitals,NIL,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Muscle Aches,Swollen testicles,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Muscle Aches,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Hunger,Frequent Infection,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Fever,Swollen genitals,Swollen testicles,Confusion,Critical,cancer
"Yellow,green discharge",Tired,Headache,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Hunger,Abdominal Pain,NIL,Seizures,Critical,Diabetes
Painful Urination,Tired,Frequent Infection,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Tired,Anal Itching and Pain,Swollen testicles,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Urge to urinate,Headache,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Tired,Blurred Vision,NIL,Disorientation,Critical,cancer
"Yellow,green discharge",Fever,Abdominal Pain,Excessive Urination and Thirst,Confusion,Critical,Diabetes
"Yellow,green discharge",Fever,Abdominal Pain,NIL,Disorientation,Critical,cancer
Painful Urination,Urge to urinate,Frequent Infection,Rose spots,Cough and breathing difficulties,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Swollen genitals,Rose spots,NIL,Critical,cancer
Difficulties in stooling,Tired,Anal Itching and Pain,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Fever,Headache,Rashes,Confusion,Critical,Diabetes
"Yellow,green discharge",Tired,Blurred Vision,Rose spots,NIL,Critical,cancer
Difficulties in stooling,Hunger,Muscle Aches,NIL,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Headache,Rashes,NIL,Critical,cancer
Difficulties in stooling,Urge to urinate,Abdominal Pain,NIL,NIL,Not Critical,Diabetes
Painful Urination,Tired,Anal Itching and Pain,NIL,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Swollen genitals,Rashes,NIL,Critical,Diabetes
Frequent Urination,Tired,Anal Itching and Pain,Rashes,Seizures,Critical,Diabetes
Frequent Urination,Hunger,Headache,NIL,NIL,Not Critical,Diabetes
Painful Urination,Hunger,Abdominal Pain,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Tired,Swollen genitals,NIL,NIL,Not Critical,Diabetes
Painful Urination,Urge to urinate,Headache,NIL,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Frequent Infection,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Tired,Swollen genitals,NIL,Confusion,Critical,cancer
Difficulties in stooling,Tired,Headache,NIL,NIL,Not Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Headache,NIL,Cough and breathing difficulties,Critical,cardiovascular_disease
Painful Urination,Tired,Frequent Infection,Rashes,NIL,Critical,cancer
Difficulties in stooling,Tired,Swollen genitals,NIL,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Urge to urinate,Muscle Aches,Rose spots,Confusion,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Swollen genitals,Excessive Urination and Thirst,NIL,Critical,Diabetes
Difficulties in stooling,Hunger,Abdominal Pain,Rashes,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Blurred Vision,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Fever,Headache,NIL,Confusion,Critical,cancer
Frequent Urination,Hunger,Abdominal Pain,Rose spots,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Fever,Frequent Infection,NIL,NIL,Not Critical,cancer
Painful Urination,Tired,Swollen genitals,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Tired,Muscle Aches,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Hunger,Frequent Infection,Rashes,Seizures,Critical,Diabetes
Difficulties in stooling,Hunger,Muscle Aches,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Abdominal Pain,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Headache,NIL,Seizures,Critical,cancer
Difficulties in stooling,Tired,Abdominal Pain,NIL,Seizures,Critical,cancer
"Yellow,green discharge",Tired,Headache,NIL,Seizures,Critical,cancer
Difficulties in stooling,Fever,Frequent Infection,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Confusion,Critical,Diabetes
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,Disorientation,Critical,cancer
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Swollen testicles,Seizures,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Blurred Vision,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Painful Urination,Urge to urinate,Anal Itching and Pain,Swollen testicles,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Anal Itching and Pain,Rashes,NIL,Critical,cancer
Painful Urination,Fever,Headache,NIL,Confusion,Critical,cancer
Painful Urination,Urge to urinate,Muscle Aches,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Blurred Vision,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Tired,Abdominal Pain,Bloody diarrhea,Confusion,Critical,cancer
"Yellow,green discharge",Tired,Muscle Aches,NIL,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Tired,Abdominal Pain,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Urge to urinate,Swollen genitals,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Hunger,Abdominal Pain,Rashes,NIL,Critical,cancer
Frequent Urination,Hunger,Headache,Swollen testicles,Severe pelvic pain,Critical,Diabetes
Painful Urination,Fever,Anal Itching and Pain,NIL,Confusion,Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,NIL,NIL,Not Critical,Diabetes
Painful Urination,Tired,Blurred Vision,NIL,Disorientation,Critical,cancer
Frequent Urination,Tired,Swollen genitals,NIL,NIL,Not Critical,Diabetes
Painful Urination,Urge to urinate,Muscle Aches,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Hunger,Headache,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Headache,Rashes,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Tired,Abdominal Pain,Bloody diarrhea,NIL,Critical,Diabetes
Frequent Urination,Urge to urinate,Frequent Infection,NIL,Disorientation,Critical,Diabetes
Frequent Urination,Urge to urinate,Muscle Aches,NIL,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Fever,Swollen genitals,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Swollen genitals,Rashes,Seizures,Critical,cardiovascular_disease
Frequent Urination,Tired,Swollen genitals,NIL,NIL,Not Critical,cancer
Painful Urination,Urge to urinate,Swollen genitals,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Muscle Aches,Rose spots,Cough and breathing difficulties,Critical,cancer
Painful Urination,Fever,Swollen genitals,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Fever,Frequent Infection,NIL,Disorientation,Critical,cancer
Frequent Urination,Hunger,Frequent Infection,NIL,NIL,Not Critical,cancer
Painful Urination,Urge to urinate,Swollen genitals,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Blurred Vision,NIL,Confusion,Critical,cancer
Frequent Urination,Urge to urinate,Muscle Aches,Bloody diarrhea,Disorientation,Critical,Diabetes
Frequent Urination,Tired,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Swollen genitals,NIL,Seizures,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Muscle Aches,Swollen testicles,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Tired,Swollen genitals,Bloody diarrhea,NIL,Critical,cancer
Frequent Urination,Tired,Frequent Infection,NIL,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Urge to urinate,Abdominal Pain,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Hunger,Headache,NIL,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Tired,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Hunger,Headache,Rashes,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Frequent Infection,Rashes,NIL,Critical,cancer
Frequent Urination,Tired,Headache,NIL,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Muscle Aches,Bloody diarrhea,Disorientation,Critical,Diabetes
Painful Urination,Fever,Muscle Aches,Rose spots,Confusion,Critical,cancer
Painful Urination,Fever,Swollen genitals,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Urge to urinate,Swollen genitals,Rose spots,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Frequent Infection,NIL,Disorientation,Critical,cancer
"Yellow,green discharge",Tired,Abdominal Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,NIL,NIL,Not Critical,cancer
Painful Urination,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Seizures,Critical,Diabetes
"Yellow,green discharge",Fever,Abdominal Pain,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Urge to urinate,Blurred Vision,Bloody diarrhea,NIL,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Blurred Vision,Bloody diarrhea,Seizures,Critical,cancer
Painful Urination,Tired,Anal Itching and Pain,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Hunger,Frequent Infection,Rashes,Confusion,Critical,Diabetes
Frequent Urination,Hunger,Muscle Aches,Rashes,NIL,Critical,Diabetes
"Yellow,green discharge",Hunger,Anal Itching and Pain,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Frequent Infection,NIL,Disorientation,Critical,cancer
Frequent Urination,Fever,Anal Itching and Pain,Rose spots,Disorientation,Critical,Diabetes
Difficulties in stooling,Tired,Swollen genitals,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Hunger,Blurred Vision,Rashes,NIL,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,Swollen testicles,NIL,Critical,cancer
Difficulties in stooling,Urge to urinate,Swollen genitals,NIL,Confusion,Critical,cardiovascular_disease
Frequent Urination,Tired,Muscle Aches,Rashes,Disorientation,Critical,Diabetes
Difficulties in stooling,Fever,Frequent Infection,Rose spots,Slow heart rate and pulse,Critical,cancer
Painful Urination,Fever,Swollen genitals,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Tired,Abdominal Pain,Rashes,NIL,Critical,cancer
Frequent Urination,Hunger,Blurred Vision,Bloody diarrhea,NIL,Critical,Diabetes
Painful Urination,Tired,Headache,Rose spots,NIL,Critical,cancer
"Yellow,green discharge",Urge to urinate,Frequent Infection,Swollen testicles,NIL,Critical,cardiovascular_disease
Painful Urination,Hunger,Blurred Vision,Rashes,Confusion,Critical,cancer
"Yellow,green discharge",Hunger,Blurred Vision,NIL,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Hunger,Muscle Aches,Rashes,NIL,Critical,cancer
Frequent Urination,Fever,Swollen genitals,Bloody diarrhea,NIL,Critical,Diabetes
Painful Urination,Urge to urinate,Muscle Aches,Bloody diarrhea,Confusion,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Blurred Vision,Rose spots,NIL,Critical,cardiovascular_disease
Painful Urination,Hunger,Headache,Rose spots,NIL,Critical,cancer
Frequent Urination,Tired,Frequent Infection,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Frequent Urination,Fever,Headache,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Muscle Aches,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Urge to urinate,Frequent Infection,Rashes,NIL,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,NIL,Critical,Diabetes
Difficulties in stooling,Fever,Blurred Vision,Rashes,NIL,Critical,cancer
Frequent Urination,Hunger,Abdominal Pain,Bloody diarrhea,NIL,Critical,Diabetes
Frequent Urination,Tired,Muscle Aches,Rose spots,NIL,Critical,Diabetes
Painful Urination,Urge to urinate,Blurred Vision,Rose spots,Confusion,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Frequent Infection,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Urge to urinate,Swollen genitals,NIL,NIL,Not Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,Rashes,Disorientation,Critical,cancer
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Tired,Abdominal Pain,Rashes,NIL,Critical,Diabetes
Painful Urination,Fever,Swollen genitals,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Hunger,Blurred Vision,Swollen testicles,Confusion,Critical,cancer
Painful Urination,Tired,Swollen genitals,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Tired,Headache,NIL,Seizures,Critical,cancer
Painful Urination,Tired,Blurred Vision,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Hunger,Swollen genitals,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Frequent Infection,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Fever,Anal Itching and Pain,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Fever,Frequent Infection,Rose spots,NIL,Critical,cancer
"Yellow,green discharge",Tired,Abdominal Pain,NIL,Confusion,Critical,cancer
Frequent Urination,Hunger,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Fever,Blurred Vision,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
"Yellow,green discharge",Fever,Muscle Aches,NIL,Seizures,Critical,cancer
Painful Urination,Tired,Muscle Aches,NIL,Seizures,Critical,cancer
Difficulties in stooling,Hunger,Abdominal Pain,NIL,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Abdominal Pain,NIL,Seizures,Critical,cancer
Frequent Urination,Urge to urinate,Frequent Infection,Rose spots,Seizures,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Blurred Vision,Swollen testicles,Cough and breathing difficulties,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Abdominal Pain,Bloody diarrhea,Seizures,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Muscle Aches,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Hunger,Abdominal Pain,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Tired,Swollen genitals,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Abdominal Pain,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Headache,NIL,NIL,Not Critical,cancer
Frequent Urination,Tired,Headache,Rashes,NIL,Critical,Diabetes
Difficulties in stooling,Fever,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Urge to urinate,Swollen genitals,Rashes,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Blurred Vision,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Rashes,Confusion,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Muscle Aches,NIL,Confusion,Critical,cancer
"Yellow,green discharge",Tired,Headache,Rose spots,NIL,Critical,cancer
Difficulties in stooling,Urge to urinate,Muscle Aches,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
Painful Urination,Tired,Muscle Aches,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Headache,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Blurred Vision,NIL,Seizures,Critical,cardiovascular_disease
Painful Urination,Tired,Headache,Rashes,Confusion,Critical,cancer
"Yellow,green discharge",Tired,Abdominal Pain,NIL,NIL,Not Critical,cancer
Painful Urination,Fever,Swollen genitals,Swollen testicles,NIL,Critical,cancer
"Yellow,green discharge",Tired,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Fever,Blurred Vision,NIL,Seizures,Critical,Diabetes
Frequent Urination,Tired,Swollen genitals,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Headache,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Hunger,Blurred Vision,Bloody diarrhea,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Tired,Frequent Infection,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Frequent Urination,Tired,Blurred Vision,Rashes,NIL,Critical,Diabetes
Painful Urination,Hunger,Abdominal Pain,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Fever,Muscle Aches,NIL,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Hunger,Blurred Vision,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,NIL,Confusion,Critical,Diabetes
Painful Urination,Urge to urinate,Abdominal Pain,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Headache,Swollen testicles,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Blurred Vision,Rashes,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Fever,Abdominal Pain,Swollen testicles,Seizures,Critical,Diabetes
Painful Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
